iter	RMSE
0	26.72331711
1	25.48609251
2	24.01564962
3	22.82124835
4	21.61559344
5	20.68117086
6	19.75851854
7	19.08832369
8	18.08618471
9	17.47009143
10	16.72434299
11	15.72612618
12	14.99842287
13	14.38724582
14	13.83758049
15	13.32163506
16	12.85713369
17	12.30583086
18	11.81408393
19	11.40483474
20	11.08077477
21	10.678806
22	10.40688576
23	10.04686431
24	9.710160169
25	9.35383563
26	9.057172162
27	8.81651788
28	8.596291414
29	8.466017086
30	8.165158478
31	7.97986502
32	7.747763776
33	7.562101094
34	7.422745597
35	7.248668256
36	7.042350476
37	6.933906364
38	6.799207075
39	6.680396778
40	6.540795167
41	6.439285576
42	6.295376087
43	6.195936437
44	6.069998038
45	5.996104978
46	5.894578145
47	5.794610117
48	5.67973647
49	5.576008083
50	5.47721229
51	5.385751923
52	5.316145785
53	5.242197706
54	5.167977744
55	5.112620428
56	5.050608428
57	4.975435296
58	4.893682463
59	4.828436541
60	4.773833159
61	4.693272633
62	4.605931791
63	4.555809145
64	4.512667241
65	4.452757908
66	4.381448118
67	4.333960249
68	4.301850072
69	4.257888907
70	4.203100736
71	4.163206845
72	4.11581884
73	4.076053558
74	4.037318296
75	3.986651992
76	3.952118491
77	3.922607778
78	3.903840227
79	3.864787496
80	3.84138081
81	3.82118616
82	3.79799721
83	3.735166723
84	3.707705371
85	3.685226012
86	3.638820817
87	3.61020459
88	3.578863583
89	3.552582793
90	3.52495226
91	3.509783483
92	3.495843323
93	3.474740721
94	3.462293418
95	3.436206003
96	3.398561837
97	3.374194752
98	3.359374075
99	3.343493846
100	3.320355542
101	3.303330269
102	3.293882547
103	3.284590625
104	3.245633734
105	3.238004002
106	3.226969294
107	3.197663642
108	3.162095704
109	3.155567266
110	3.145390479
111	3.122767033
112	3.094161238
113	3.076210205
114	3.066697491
115	3.049670494
116	3.040180715
117	3.023695672
118	3.002712212
119	2.984647199
120	2.974048663
121	2.962468924
122	2.940619793
123	2.932929343
124	2.918010051
125	2.881808267
126	2.872356667
127	2.857086892
128	2.835439346
129	2.827888792
130	2.813091319
131	2.801817067
132	2.792491159
133	2.786228642
134	2.782310441
135	2.77715193
136	2.761229037
137	2.747867261
138	2.732657545
139	2.72617958
140	2.712798223
141	2.700440608
142	2.692152309
143	2.689454915
144	2.687095141
145	2.681708188
146	2.678174698
147	2.671092397
148	2.655897442
149	2.646271802
150	2.631320957
151	2.619878192
152	2.61319174
153	2.603658036
154	2.599599772
155	2.596243149
156	2.588794346
157	2.583341249
158	2.581882795
159	2.571595745
160	2.569995327
161	2.558326485
162	2.551443903
163	2.550008164
164	2.536158603
165	2.531487548
166	2.526989094
167	2.512177692
168	2.503947544
169	2.498137733
170	2.489988045
171	2.481134156
172	2.478312651
173	2.474444431
174	2.471483075
175	2.469817295
176	2.450465595
177	2.448663303
178	2.440683384
179	2.429990167
180	2.422825558
181	2.405507081
182	2.404534678
183	2.400600986
184	2.399685884
185	2.381281961
186	2.377114597
187	2.36437661
188	2.345629487
189	2.336362505
190	2.331334452
191	2.329602735
192	2.32873129
193	2.320526208
194	2.311824449
195	2.306872625
196	2.30336698
197	2.293777298
198	2.286343413
199	2.281439315
